id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass
30,650,10217,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
31,650,10217,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
32,650,10217,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
33,650,10217,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
34,245,8593,2/22/2010 0:00,Slow,Little,Short,Free Form,Normal,Normal,Lots,Organised,Deep,Contain,Narrow,Cover
35,245,8593,2/22/2011 0:00,Balanced,Little,Mixed,Free Form,Risky,Normal,Lots,Organised,Medium,Press,Normal,Cover
36,245,8593,2/22/2012 0:00,Slow,Little,Short,Organised,Normal,Normal,Normal,Free Form,High,Press,Normal,Cover
37,245,8593,9/20/2013 0:00,Balanced,Little,Short,Free Form,Normal,Normal,Normal,Free Form,High,Press,Normal,Cover
38,245,8593,9/19/2014 0:00,Balanced,Normal,Short,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
39,245,8593,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Free Form,Medium,Press,Normal,Cover
40,1861,9865,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,High,Press,Narrow,Cover
41,1861,9865,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Double,Wide,Cover
42,1861,9865,2/22/2012 0:00,Balanced,Little,Long,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
43,1861,9865,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
44,1861,9865,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
45,1861,9865,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
46,229,8635,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Risky,Normal,Normal,Organised,High,Press,Wide,Cover
47,229,8635,2/22/2011 0:00,Balanced,Little,Mixed,Free Form,Risky,Normal,Normal,Organised,High,Press,Wide,Offside Trap
48,229,8635,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
49,229,8635,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,Cover
50,229,8635,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
51,229,8635,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
52,1530,8121,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Narrow,Offside Trap
53,1530,8121,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
54,1530,8121,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
55,1530,8121,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
56,1530,8121,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
57,1530,8121,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
58,111082,8322,2/22/2010 0:00,Slow,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Double,Wide,Cover
59,111082,8322,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Safe,Normal,Normal,Organised,Medium,Press,Normal,Cover
60,111989,108893,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Safe,Normal,Little,Organised,Deep,Press,Normal,Cover
61,111989,108893,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
62,111989,108893,2/22/2012 0:00,Slow,Little,Short,Organised,Normal,Normal,Normal,Organised,Medium,Contain,Normal,Cover
63,111989,108893,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
64,111989,108893,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
65,111989,108893,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
66,159,9912,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
67,159,9912,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Cover
68,159,9912,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
69,112513,158085,9/19/2014 0:00,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
70,112513,158085,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
71,1,9825,2/22/2010 0:00,Balanced,Little,Short,Free Form,Safe,Normal,Normal,Free Form,Deep,Press,Normal,Cover
72,1,9825,2/22/2011 0:00,Fast,Little,Mixed,Free Form,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
73,1,9825,2/22/2012 0:00,Slow,Little,Short,Organised,Normal,Normal,Little,Free Form,Medium,Press,Normal,Cover
74,1,9825,9/20/2013 0:00,Slow,Little,Short,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
75,1,9825,9/19/2014 0:00,Balanced,Normal,Short,Organised,Safe,Normal,Normal,Free Form,Medium,Press,Normal,Cover
76,1,9825,9/10/2015 0:00,Balanced,Normal,Short,Organised,Safe,Normal,Normal,Free Form,Medium,Press,Normal,Cover
77,2,10252,2/22/2010 0:00,Fast,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Deep,Double,Narrow,Cover
78,2,10252,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
79,2,10252,2/22/2012 0:00,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
80,2,10252,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
81,2,10252,9/19/2014 0:00,Balanced,Little,Long,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
82,2,10252,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
83,39,8524,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Little,Normal,Organised,Deep,Contain,Normal,Offside Trap
84,39,8524,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
85,39,8524,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
86,39,8524,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
87,39,8524,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
88,39,8524,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
89,448,8315,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Deep,Double,Normal,Cover
90,448,8315,2/22/2011 0:00,Fast,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Cover
91,448,8315,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Wide,Cover
92,448,8315,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Wide,Cover
93,448,8315,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
94,448,8315,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
95,240,9906,2/22/2010 0:00,Balanced,Little,Short,Free Form,Normal,Normal,Lots,Free Form,High,Press,Normal,Offside Trap
96,240,9906,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,Cover
97,240,9906,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
98,240,9906,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
99,240,9906,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,Cover
100,240,9906,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
101,100409,8406,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Lots,Lots,Organised,Medium,Press,Normal,Cover
102,100409,8406,2/22/2011 0:00,Fast,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
103,100409,8406,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
104,100409,8406,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Deep,Press,Normal,Cover
105,100409,8406,9/19/2014 0:00,Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
106,100409,8406,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
107,57,8583,2/22/2010 0:00,Slow,Little,Long,Organised,Normal,Normal,Normal,Organised,Deep,Press,Narrow,Cover
108,57,8583,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
109,57,8583,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
110,57,8583,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
111,57,8583,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
112,57,8583,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
113,1906,10229,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Little,Normal,Organised,Deep,Contain,Normal,Cover
114,1906,10229,2/22/2011 0:00,Balanced,Little,Short,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
115,1906,10229,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
116,1906,10229,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
117,1906,10229,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
118,1906,10229,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
119,241,8634,2/22/2010 0:00,Balanced,Little,Short,Free Form,Normal,Normal,Lots,Free Form,High,Contain,Wide,Offside Trap
120,241,8634,2/22/2011 0:00,Balanced,Little,Mixed,Free Form,Normal,Little,Lots,Free Form,High,Press,Wide,Cover
121,241,8634,2/22/2012 0:00,Slow,Little,Short,Free Form,Normal,Little,Normal,Free Form,Medium,Press,Normal,Cover
122,241,8634,9/20/2013 0:00,Balanced,Little,Short,Free Form,Normal,Little,Normal,Free Form,Medium,Press,Normal,Cover
123,241,8634,9/19/2014 0:00,Balanced,Normal,Short,Free Form,Normal,Little,Normal,Free Form,Medium,Press,Normal,Cover
124,241,8634,9/10/2015 0:00,Balanced,Normal,Mixed,Free Form,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
125,1848,9976,2/22/2010 0:00,Slow,Little,Short,Free Form,Safe,Normal,Normal,Organised,Medium,Contain,Normal,Offside Trap
126,1848,9976,2/22/2011 0:00,Balanced,Little,Mixed,Free Form,Normal,Normal,Normal,Organised,Medium,Press,Normal,Offside Trap
127,1848,9976,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
128,1848,9976,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
129,1848,9976,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
130,1848,9976,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
131,896,9931,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
132,896,9931,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
133,896,9931,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
134,896,9931,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
135,896,9931,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
136,896,9931,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
137,32,8178,2/22/2010 0:00,Fast,Little,Short,Organised,Risky,Lots,Lots,Organised,High,Press,Wide,Cover
138,32,8178,2/22/2011 0:00,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
139,32,8178,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
140,32,8178,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
141,32,8178,9/19/2014 0:00,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
142,32,8178,9/10/2015 0:00,Fast,Little,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Double,Normal,Cover
143,21,9823,2/22/2010 0:00,Balanced,Little,Mixed,Free Form,Normal,Lots,Lots,Free Form,High,Press,Normal,Cover
144,21,9823,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Little,Lots,Free Form,Medium,Press,Normal,Cover
145,21,9823,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Cover
146,21,9823,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
147,21,9823,9/19/2014 0:00,Balanced,Normal,Short,Free Form,Safe,Normal,Normal,Free Form,Medium,Press,Normal,Cover
148,21,9823,9/10/2015 0:00,Balanced,Little,Short,Free Form,Normal,Little,Little,Free Form,High,Press,Normal,Cover
149,675,9993,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,High,Double,Wide,Cover
150,675,9993,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Deep,Press,Normal,Offside Trap
151,675,9993,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
152,675,9993,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Wide,Cover
153,1897,10211,2/22/2011 0:00,Balanced,Little,Mixed,Free Form,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
154,1897,10211,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
155,1897,10211,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
156,1889,9807,2/22/2010 0:00,Slow,Little,Short,Organised,Normal,Normal,Normal,Organised,Deep,Contain,Narrow,Offside Trap
157,1889,9807,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
158,1889,9807,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
159,1714,6493,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
160,1714,6493,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
161,234,9772,2/22/2010 0:00,Slow,Little,Short,Free Form,Normal,Normal,Normal,Free Form,Deep,Contain,Narrow,Offside Trap
162,234,9772,2/22/2011 0:00,Balanced,Little,Mixed,Free Form,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
163,234,9772,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
164,234,9772,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
165,234,9772,9/19/2014 0:00,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
166,234,9772,9/10/2015 0:00,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
167,88,8658,2/22/2010 0:00,Fast,Little,Long,Organised,Risky,Lots,Lots,Organised,High,Double,Wide,Cover
168,88,8658,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
169,88,8658,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
170,88,8658,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
171,88,8658,9/19/2014 0:00,Balanced,Normal,Long,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,Cover
172,88,8658,9/10/2015 0:00,Balanced,Little,Long,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
173,3,8655,2/22/2010 0:00,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Double,Normal,Cover
174,3,8655,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
175,3,8655,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
176,3,8655,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
177,3,8655,9/19/2014 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
178,3,8655,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
179,1926,8483,2/22/2010 0:00,Fast,Little,Long,Organised,Risky,Lots,Normal,Organised,High,Double,Wide,Cover
180,1926,8483,2/22/2011 0:00,Fast,Little,Short,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Cover
181,1926,8483,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
182,1926,8483,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
183,1926,8483,9/19/2014 0:00,Fast,Normal,Long,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
184,1926,8483,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
185,1898,8613,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
186,160,9911,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
187,160,9911,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
188,160,9911,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
189,160,9911,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
190,160,9911,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
191,160,9911,9/10/2015 0:00,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Wide,Cover
192,189,9857,2/22/2010 0:00,Balanced,Little,Mixed,Organised,Safe,Lots,Normal,Organised,Medium,Contain,Normal,Offside Trap
193,189,9857,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
194,189,9857,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
195,189,9857,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
196,189,9857,9/19/2014 0:00,Balanced,Normal,Mixed,Organised,Safe,Normal,Normal,Organised,Deep,Press,Normal,Cover
197,189,9857,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Safe,Normal,Normal,Organised,Deep,Press,Normal,Cover
198,4,8559,2/22/2010 0:00,Balanced,Little,Long,Organised,Risky,Lots,Normal,Organised,Medium,Double,Normal,Cover
199,4,8559,2/22/2011 0:00,Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
200,4,8559,2/22/2012 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
201,4,8559,9/20/2013 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
202,4,8559,9/19/2014 0:00,Balanced,Normal,Long,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
203,4,8559,9/10/2015 0:00,Balanced,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
204,59,9827,2/22/2010 0:00,Fast,Little,Mixed,Organised,Risky,Normal,Lots,Organised,Medium,Double,Wide,Offside Trap
205,59,9827,2/22/2011 0:00,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
